Kieskring,Arrondissement,Kanton,Gemeente
Antwerpen#Anvers,Antwerpen#Anvers,Ekeren,Brasschaat
Antwerpen#Anvers,Antwerpen#Anvers,Ekeren,Schoten
Antwerpen#Anvers,Antwerpen#Anvers,Ekeren,Stabroek
Oost-Vlaanderen#Flandre-Orientale,Gent#Gand,Ledeberg,Gent#Gand
Liège#Luik,Liège#Luik,Fexhe-Slins,Juprelle
Hainaut#Henegouwen,Tournai-Ath-Mouscron#Doornik-Aat-Moeskroen,Frasnes-Buissenal,Frasnes-lez-Anvaing
Hainaut#Henegouwen,Charleroi,Marchienne-au-Pont,Charleroi
Hainaut#Henegouwen,Charleroi,Gosselies,Charleroi
Hainaut#Henegouwen,Charleroi,Jumet,Charleroi
Liège#Luik,Liège#Luik,Grivegnee,Liège#Luik
Liège#Luik,Liège#Luik,Louveigne,Sprimont
Liège#Luik,Liège#Luik,Louveigne,Aywaille
Liège#Luik,Liège#Luik,Louveigne,Comblain-au-Pont
Liège#Luik,Liège#Luik,Louveigne,Esneux
West-Vlaanderen#Flandre-Occidentale,Kortrijk-Roeselare-Tielt#Courtrai-Roulers-Tielt,Moorsele,Wevelgem
West-Vlaanderen#Flandre-Occidentale,Ieper#Ypres,Passendale,Zonnebeke
Hainaut#Henegouwen,Mons#Bergen,Paturages,Colfontaine
Vlaams-Brabant#Brabant flamand,Halle-Vilvoorde#Hal-Vilvorde,Wolvertem,Meise
Vlaams-Brabant#Brabant flamand,Halle-Vilvoorde#Hal-Vilvorde,Wolvertem,Grimbergen
Vlaams-Brabant#Brabant flamand,Halle-Vilvoorde#Hal-Vilvorde,Wolvertem,Kapelle-op-den-Bos
Vlaams-Brabant#Brabant flamand,Halle-Vilvoorde#Hal-Vilvorde,Wolvertem,Londerzeel
Hainaut#Henegouwen,Tournai-Ath-Mouscron#Doornik-Aat-Moeskroen,Templeuve,Tournai#Doornik
Limburg#Limbourg,Hasselt-Tongeren-Maaseik#Hasselt-Tongres-Maaseik,St-Martens-Voeren,Voeren#Fourons
Oost-Vlaanderen#Flandre-Orientale,Aalst-Oudenaarde#Alost-Audenarde,Sint-Maria-Horebeke,Horebeke
Oost-Vlaanderen#Flandre-Orientale,Aalst-Oudenaarde#Alost-Audenarde,Sint-Maria-Horebeke,Zwalm
Vlaams-Brabant#Brabant flamand,Halle-Vilvoorde#Hal-Vilvorde,Sint-Kwintens-Lennik,Lennik
Vlaams-Brabant#Brabant flamand,Halle-Vilvoorde#Hal-Vilvorde,Sint-Kwintens-Lennik,Bever#Biévène
Vlaams-Brabant#Brabant flamand,Halle-Vilvoorde#Hal-Vilvorde,Sint-Kwintens-Lennik,Galmaarden#Gammerages
Vlaams-Brabant#Brabant flamand,Halle-Vilvoorde#Hal-Vilvorde,Sint-Kwintens-Lennik,Gooik
Vlaams-Brabant#Brabant flamand,Halle-Vilvoorde#Hal-Vilvorde,Sint-Kwintens-Lennik,Herne
Vlaams-Brabant#Brabant flamand,Halle-Vilvoorde#Hal-Vilvorde,Sint-Kwintens-Lennik,Roosdaal
Hainaut#Henegouwen,Tournai-Ath-Mouscron#Doornik-Aat-Moeskroen,Quevaucamps,Beloeil
Hainaut#Henegouwen,Tournai-Ath-Mouscron#Doornik-Aat-Moeskroen,Quevaucamps,Bernissart
Luxembourg#Luxemburg,Arlon-Marche-Bastogne-Neufchâteau-Virton#Aarlen-Marche-Bastogne-Neufchâteau-Virton,Sibret,Vaux-sur-Sûre
Luxembourg#Luxemburg,Arlon-Marche-Bastogne-Neufchâteau-Virton#Aarlen-Marche-Bastogne-Neufchâteau-Virton,Sibret,Sainte-Ode
Limburg#Limbourg,Hasselt-Tongeren-Maaseik#Hasselt-Tongres-Maaseik,Zichen-Zussen-Bolder,Riemst
West-Vlaanderen#Flandre-Occidentale,Kortrijk-Roeselare-Tielt#Courtrai-Roulers-Tielt,Ardooie,Ardooie
Liège#Luik,Liège#Luik,Dalhem,Dalhem
Liège#Luik,Liège#Luik,Dalhem,Visé#Wezet
Oost-Vlaanderen#Flandre-Orientale,Gent#Gand,Oosterzele,Oosterzele
West-Vlaanderen#Flandre-Occidentale,Veurne-Diksmuide-Ieper-Oostende#Furnes-Dixmude-Ypres-Ostende,Poperinge,Vleteren
West-Vlaanderen#Flandre-Occidentale,Kortrijk-Roeselare-Tielt#Courtrai-Roulers-Tielt,Roeselare#Roulers,Lichtervelde
Oost-Vlaanderen#Flandre-Orientale,Sint-Niklaas-Dendermonde#Saint-Nicolas-Termonde,Wetteren,Destelbergen
Hainaut#Henegouwen,Tournai-Ath-Mouscron#Doornik-Aat-Moeskroen,Mouscron#Moeskroen,Estaimpuis
Hainaut#Henegouwen,Tournai-Ath-Mouscron#Doornik-Aat-Moeskroen,Mouscron#Moeskroen,Pecq
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Mons#Bergen,Frameries
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Mons#Bergen,Quévy
Liège#Luik,Huy-Waremme#Hoei-Borgworm,Huy#Hoei,Verlaine
Liège#Luik,Huy-Waremme#Hoei-Borgworm,Huy#Hoei,Villers-le-Bouillet
Liège#Luik,Liège#Luik,Liège#Luik,Bassenge#Bitsingen
Liège#Luik,Liège#Luik,Liège#Luik,Juprelle
Liège#Luik,Liège#Luik,Liège#Luik,Oupeye
Limburg#Limbourg,Hasselt-Tongeren-Maaseik#Hasselt-Tongres-Maaseik,Hasselt,Genk
Limburg#Limbourg,Hasselt-Tongeren-Maaseik#Hasselt-Tongres-Maaseik,Hasselt,As
Limburg#Limbourg,Hasselt-Tongeren-Maaseik#Hasselt-Tongres-Maaseik,Hasselt,Opglabbeek
Limburg#Limbourg,Hasselt-Tongeren-Maaseik#Hasselt-Tongres-Maaseik,Hasselt,Zutendaal
Vlaams-Brabant#Brabant flamand,Leuven#Louvain,Zoutleeuw#Léau,Landen
Liège#Luik,Liège#Luik,Liège#Luik,Aywaille
Liège#Luik,Liège#Luik,Liège#Luik,Comblain-au-Pont
Liège#Luik,Liège#Luik,Liège#Luik,Esneux
Liège#Luik,Liège#Luik,Liège#Luik,Sprimont
Liège#Luik,Liège#Luik,Liège#Luik,Grâce-Hollogne
Liège#Luik,Liège#Luik,Liège#Luik,Awans
Liège#Luik,Liège#Luik,Liège#Luik,Flémalle
Liège#Luik,Liège#Luik,Liège#Luik,Dalhem
Liège#Luik,Liège#Luik,Liège#Luik,Visé#Wezet
Liège#Luik,Liège#Luik,Liège#Luik,Voeren#Fourons
Brabant,Brussel#Bruxelles,none,Zaventem
Brabant,Brussel#Bruxelles,none,Steenokkerzeel
Brabant,Brussel#Bruxelles,none,Overijse
Brabant,Brussel#Bruxelles,none,Hoeilaart
Brabant,Brussel#Bruxelles,none,Vilvoorde#Vilvorde
Brabant,Brussel#Bruxelles,none,Kampenhout
Brabant,Brussel#Bruxelles,none,Machelen
Brabant,Brussel#Bruxelles,none,Zemst
Brabant,Brussel#Bruxelles,none,Meise
Brabant,Brussel#Bruxelles,none,Grimbergen
Brabant,Brussel#Bruxelles,none,Kapelle-op-den-Bos
Brabant,Brussel#Bruxelles,none,Londerzeel
Brabant,Brussel#Bruxelles,none,Asse
Brabant,Brussel#Bruxelles,none,Affligem
Brabant,Brussel#Bruxelles,none,Liedekerke
Brabant,Brussel#Bruxelles,none,Merchtem
Brabant,Brussel#Bruxelles,none,Opwijk
Brabant,Brussel#Bruxelles,none,Ternat
Brabant,Brussel#Bruxelles,none,Dilbeek
Brabant,Brussel#Bruxelles,none,Halle#Hal
Brabant,Brussel#Bruxelles,none,Beersel
Brabant,Brussel#Bruxelles,none,Pepingen
Brabant,Brussel#Bruxelles,none,Sint-Pieters-Leeuw
Brabant,Brussel#Bruxelles,none,Lennik
Brabant,Brussel#Bruxelles,none,Bever#Biévène
Brabant,Brussel#Bruxelles,none,Galmaarden#Gammerages
Brabant,Brussel#Bruxelles,none,Gooik
Brabant,Brussel#Bruxelles,none,Herne
Brabant,Brussel#Bruxelles,none,Roosdaal
Brabant,Brussel#Bruxelles,none,Sint-Genesius-Rode#Rhode-Saint-Genèse
Brabant,Brussel#Bruxelles,none,Drogenbos
Brabant,Brussel#Bruxelles,none,Linkebeek
Brabant,Brussel#Bruxelles,none,Wemmel
Brabant,Brussel#Bruxelles,none,Kraainem
Brabant,Brussel#Bruxelles,none,Wezembeek-Oppem
